source,mdr_report_key,event_type,date_received,report_source_code,manufacturer_name,generic_name,device_class
openFDA Device Event API,1000006,Malfunction,20080220,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,10000478,Malfunction,20200427,Manufacturer report,SIEMENS SHENZHEN MAGNETIC RESONANCE LTD.,INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,10000804,Malfunction,20200427,Manufacturer report,SANMINA -SCI SYSTEMS,INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,10000809,Malfunction,20200427,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)","IMAGE-INTENSIFIED FLUOROSCOPIC X-RAY SYSTEM, MOBILE",
openFDA Device Event API,10000818,Malfunction,20200427,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)","IMAGE-INTENSIFIED FLUOROSCOPIC X-RAY SYSTEM, MOBILE",
openFDA Device Event API,10000844,Malfunction,20200427,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)","IMAGE-INTENSIFIED FLUOROSCOPIC X-RAY SYSTEM, MOBILE",
openFDA Device Event API,1000182,Injury,20080219,Manufacturer report,BOSTON SCIENTIFIC CORP.,CORONARY IMAGING CATHETER,
openFDA Device Event API,10002531,Malfunction,20200427,Manufacturer report,SIEMENS HEALTHCARE GMBH,STATIONARY X-RAY SYSTEM,
openFDA Device Event API,10003609,Malfunction,20200427,Manufacturer report,SANMINA -SCI SYSTEMS,INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,1000361,Malfunction,20080215,Voluntary report,IMTEC CORPORATION,COMPUTED TOMOGRAPHY X-RAY SYSTEM CONE BEAM CT SYSTEM,
openFDA Device Event API,10004552,Malfunction,20200428,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,1000565,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000569,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000572,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000575,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000577,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000579,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000581,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000582,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000584,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000585,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000587,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000588,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000590,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000591,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000592,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000593,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000594,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000595,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC.",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000596,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC.",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000597,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC.",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000598,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC.",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000599,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC.",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000600,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC.",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000601,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000602,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000604,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000605,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000607,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000613,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000614,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,10006176,Injury,20200428,Manufacturer report,SIEMENS HEALTHCARE GMBH,"SYSTEM, X-RAY, TOMOGRAPHY, COMPUTED",
openFDA Device Event API,1000625,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000628,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000629,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000630,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000631,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000632,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000633,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000634,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000635,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS IN.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000636,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000637,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000638,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000639,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000640,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000641,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000643,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000644,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000646,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000647,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000649,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000653,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000655,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000656,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000658,Malfunction,20080221,Manufacturer report,"GE OEC MEDICAL SYSTEMS, INC",FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000662,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000664,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000667,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000669,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,10007165,Malfunction,20200428,Manufacturer report,SANMINA -SCI SYSTEMS,INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,10007306,Malfunction,20200428,Manufacturer report,SANMINA -SCI SYSTEMS,INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,10007491,Malfunction,20200428,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,10007521,Malfunction,20200428,Manufacturer report,BARD ACCESS SYSTEMS,"SYSTEM, IMAGING, PULSED ECHO, ULTRASONIC",
openFDA Device Event API,10007553,Malfunction,20200428,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,10007651,Malfunction,20200428,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,1000849,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000851,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000854,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000855,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000858,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000860,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000861,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000862,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000863,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000864,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000865,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000866,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000867,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000868,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000869,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000870,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000871,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000872,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,1000874,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,10008748,Malfunction,20200429,Manufacturer report,"MEDTRONIC NAVIGATION, INC (LITTLETON)",INTERVENTIONAL FLUOROSCOPIC X-RAY SYSTEM,
openFDA Device Event API,1000876,Malfunction,20080221,Manufacturer report,GE OEC MEDICAL SYSTEMS INC.,FLUOROSCOPIC X-RAY,
openFDA Device Event API,10009000,Malfunction,20200429,Manufacturer report,BARD ACCESS SYSTEMS,"SYSTEM, IMAGING, PULSED ECHO, ULTRASONIC",
openFDA Device Event API,10009002,Malfunction,20200429,User Facility report,PHILIPS HEALTHCARE,"SYSTEM, X-RAY, ANGIOGRAPHIC",
openFDA Device Event API,10009040,Malfunction,20200429,Manufacturer report,BARD ACCESS SYSTEMS,"SYSTEM, IMAGING, PULSED ECHO, ULTRASONIC",
